gene_name	rep	condition	total	sup	pel
ENSG00000254231.2	1	1	15	21	12
ENSG00000257524.6	1	1	197.01	566.54	2539.5
ENSG00000258429.1	1	1	58.28	586.63	308.02
ENSG00000259158.4	1	1	73.94	6	168.53
ENSG00000259172.1	1	1	27	37	58
ENSG00000259623.1	1	1	1653	718	165
ENSG00000259660.2	1	1	160	554.21	1045.59
ENSG00000259669.5	1	1	1221	886	1077
ENSG00000259705.1	1	1	13	17	9
ENSG00000259726.1	1	1	15.06	62.99	237.04
ENSG00000259974.2	1	1	11	10	23
ENSG00000260139.6	1	1	15	69.31	441.94
ENSG00000260238.6	1	1	53.49	114.85	30.22
ENSG00000260518.2	1	1	195.07	117.36	51
ENSG00000260597.1	1	1	9	16	53
ENSG00000260852.1	1	1	123	354	140
ENSG00000260855.1	1	1	94	28	91
ENSG00000260896.5	1	1	912	494	220
ENSG00000261115.5	1	1	523	639	712
ENSG00000261270.1	1	1	93.96	67.13	160.55
ENSG00000261740.6	1	1	3139.03	2259.85	1304.99
ENSG00000262209.2	1	1	50	105.49	177.8
ENSG00000262420.3	1	1	26	45	26
ENSG00000262712.1	1	1	16	77	51
ENSG00000263001.5	1	1	11477.01	10882.28	13028.49
ENSG00000263753.7	1	1	2377	2508	1364
ENSG00000264364.2	1	1	3102	4735	1157
ENSG00000265218.1	1	1	130.88	8.04	69.87
ENSG00000267060.5	1	1	87.39	102.72	96.59
ENSG00000267272.5	1	1	18.8	38	137.17
ENSG00000267277.1	1	1	35	100	181
ENSG00000267645.5	1	1	36.14	2420.51	657.91
ENSG00000268061.5	1	1	209	770	162
ENSG00000268333.1	1	1	10	17	54
ENSG00000270605.1	1	1	2067	2707	1566
ENSG00000272040.1	1	1	107	30	96
ENSG00000272501.1	1	1	296	491	208
ENSG00000272841.1	1	1	28	16	16
ENSG00000273080.1	1	1	49	32	17
ENSG00000273162.1	1	1	144	124	141
ENSG00000273329.1	1	1	491	424	541
ENSG00000273759.1	1	1	49	75	112
ENSG00000273783.1	1	1	37	20	17
ENSG00000274523.4	1	1	2364	5422	1643
ENSG00000274615.1	1	1	1289.67	305.93	1759.01
ENSG00000274893.1	1	1	57.67	25.94	95.54
ENSG00000276291.5	1	1	442	422	904.02
ENSG00000276476.2	1	1	506	266	435
ENSG00000276791.1	1	1	55	200	401
ENSG00000276805.2	1	1	57.31	283.21	653.49
ENSG00000277443.2	1	1	30386	10639	4861
ENSG00000277744.1	1	1	11	11	45
ENSG00000278463.1	1	1	11	43	32
ENSG00000278558.4	1	1	14.87	104.68	947.1
ENSG00000278637.1	1	1	61	23	57
ENSG00000278986.1	1	1	135.91	181.57	158.26
ENSG00000279192.1	1	1	931	434	491
ENSG00000279233.1	1	1	106	142	462
ENSG00000280106.1	1	1	289	71	89
ENSG00000281501.1	1	1	188	85	93
ENSG00000282458.1	1	1	3534.38	3313.65	48653.6
ENSG00000284523.1	1	1	8	14	23
ENSG00000285427.1	1	1	87	97.78	28.56
ENSG00000285521.1	1	1	19	22	11
gSpikein_ERCC-00013	1	1	130430	9731	11850
gSpikein_ERCC-00022	1	1	56265	13685	10654
gSpikein_ERCC-00069	1	1	431	92	68
gSpikein_ERCC-00074	1	1	1182	75	37
gSpikein_ERCC-00078	1	1	544	113	113
gSpikein_ERCC-00092	1	1	159	41	21
ENSG00000001461.16	2	1	1409	1232	441
ENSG00000004975.11	2	1	398	632	1658
ENSG00000006282.20	2	1	2943	5377	12972
ENSG00000007255.10	2	1	797	1670	416
ENSG00000010270.13	2	1	11214	4836	2419
ENSG00000010278.13	2	1	1528	1128	290
ENSG00000011143.16	2	1	1296	1002	1524
ENSG00000011426.10	2	1	2482	1156	3390
ENSG00000011451.19	2	1	548	1385	3093
ENSG00000011485.14	2	1	11767	18715	12059
ENSG00000012124.16	2	1	27987	28882	18189.11
ENSG00000014216.15	2	1	6788	6306	10083
ENSG00000014914.20	2	1	33	17	108
ENSG00000017797.12	2	1	7577	6445	2337
ENSG00000019144.18	2	1	13	21	34
ENSG00000044090.8	2	1	4847	6586	11548
ENSG00000051128.18	2	1	434	788	722
ENSG00000060069.16	2	1	1590	1769	3617
ENSG00000060558.3	2	1	1784	2826	801
ENSG00000060749.15	2	1	5488	2649	4052
ENSG00000062822.13	2	1	3910	11130	20388
ENSG00000065526.10	2	1	2227	2448	8208.99
ENSG00000066027.11	2	1	6569	3112	1294
ENSG00000066651.19	2	1	6692	1631	5329
ENSG00000068394.10	2	1	2215	2609	1001
ENSG00000070444.14	2	1	406	561	1454
ENSG00000070814.19	2	1	2835	4042	6023
ENSG00000071889.16	2	1	597	1292	1491
ENSG00000072571.19	2	1	8504	1782	3229
ENSG00000072682.18	2	1	828	693	303
ENSG00000073921.17	2	1	10456	4444	3550
ENSG00000075856.11	2	1	7452	5712	7066.04
ENSG00000077235.17	2	1	5075	5369	9287
ENSG00000078401.6	2	1	678	604	510
ENSG00000078674.17	2	1	19021	6313	9439
ENSG00000078902.15	2	1	2143	3892	2893
ENSG00000079387.13	2	1	8463	4668	1873
ENSG00000079950.13	2	1	13247	4184	8067
ENSG00000080824.18	2	1	116675.86	43340.43	22435.92
ENSG00000081665.13	2	1	868	400	306
ENSG00000082781.11	2	1	735	911	328
ENSG00000083290.19	2	1	598	373	278
ENSG00000084676.15	2	1	10608	8769	3580
ENSG00000085433.15	2	1	2141	877	721
ENSG00000086061.15	2	1	22916	9095	4012
ENSG00000088387.18	2	1	332	197	340
ENSG00000089009.15	2	1	111420.94	72716.88	13787.88
ENSG00000089327.14	2	1	3309	8418	1864
ENSG00000089486.16	2	1	1364	1440	1014
ENSG00000091127.13	2	1	2644	1296	981
ENSG00000091656.16	2	1	16	22	24
ENSG00000093010.13	2	1	1595	2986	1886
ENSG00000094804.10	2	1	4623	2618	1728
ENSG00000094914.12	2	1	4507	7449	6494
ENSG00000095321.16	2	1	60	109	110
ENSG00000099797.14	2	1	2012.5	3376.59	2568.63
ENSG00000100154.14	2	1	37	37	62
ENSG00000100167.20	2	1	91	69	70
ENSG00000100387.8	2	1	11559	9295	1942
ENSG00000100603.13	2	1	6138	2572	1548
ENSG00000100804.18	2	1	7459	9888	1958
ENSG00000100918.12	2	1	549	566	3827
ENSG00000100982.11	2	1	1225	2578	3060
ENSG00000101181.17	2	1	2108	4317	1333
ENSG00000101421.3	2	1	5160	4009	998
ENSG00000101557.14	2	1	5622	2015	1860
ENSG00000101871.14	2	1	25	23	32
ENSG00000101898.6	2	1	70.7	26.2	105.85
ENSG00000103496.14	2	1	2287	2179	2112
ENSG00000103769.9	2	1	15696	7495	2833
ENSG00000104047.14	2	1	1742	447	1205
ENSG00000104093.13	2	1	3774	1796	4225
ENSG00000104738.17	2	1	38592	43199	14860
ENSG00000104856.13	2	1	2274	4823	2738
ENSG00000104899.7	2	1	18	77	1212
ENSG00000105722.9	2	1	2563	3579	7537
ENSG00000106302.9	2	1	83	16	48
ENSG00000106346.11	2	1	1267	1045	1434
ENSG00000106992.18	2	1	79.56	103.04	270.16
ENSG00000107518.17	2	1	8	11	11
ENSG00000107897.18	2	1	4083	1527	1056
ENSG00000108175.16	2	1	1681	2376	7168
ENSG00000108448.21	2	1	559.4	544.27	209.56
ENSG00000108599.14	2	1	4099	1919	1349
ENSG00000108821.13	2	1	360	535	6947.64
ENSG00000108961.13	2	1	2975	5218	1873
ENSG00000109103.11	2	1	17093	22128	23051
ENSG00000111452.12	2	1	1038	1225	3010
ENSG00000111639.7	2	1	5786	4533	1196
ENSG00000111642.15	2	1	19209	17578	30004.16
ENSG00000111670.15	2	1	9840	5780	2263
