gene_name	rep	condition	total	sup	pel
ENSG00000034693.14	1	1	4869.33	2149	1091
ENSG00000034713.7	1	1	5487	4393	2081
ENSG00000035115.21	1	1	1561	599	2300
ENSG00000035141.7	1	1	7479	5920	4553
ENSG00000035403.17	1	1	2698	4573	3754
ENSG00000035499.12	1	1	7510	3658	2147
ENSG00000035664.11	1	1	308	598	1071
ENSG00000035681.8	1	1	2762	3691	4696
ENSG00000035687.9	1	1	6888	2329	1337
ENSG00000035720.7	1	1	748	259	151
ENSG00000035928.15	1	1	4114	5320	3824
ENSG00000036054.12	1	1	4083	1574	1184
ENSG00000036257.12	1	1	7485	3294	1611
ENSG00000036448.9	1	1	27	54	28
ENSG00000036549.12	1	1	5282	2846	2184
ENSG00000036828.16	1	1	15	39	27
ENSG00000037042.8	1	1	655.12	1773.29	3190.89
ENSG00000037241.7	1	1	3220.37	2704.78	1083.58
ENSG00000037474.14	1	1	8310	10691	8328
ENSG00000037637.10	1	1	2905	6810	4463
ENSG00000037749.12	1	1	1890	1405	817
ENSG00000037757.13	1	1	1564	4077	11123
ENSG00000037897.16	1	1	587	1978	923
ENSG00000038002.8	1	1	1470	1267	616
ENSG00000038210.12	1	1	10150.1	2121.35	1579
ENSG00000038219.12	1	1	9489	5369	8295
ENSG00000038274.16	1	1	8233	4208	1944
ENSG00000038295.7	1	1	121	52	51
ENSG00000038358.14	1	1	1600.73	9716.96	18174.77
ENSG00000038382.19	1	1	8868	16077	38575
ENSG00000038427.15	1	1	300	274	622
ENSG00000038532.15	1	1	2164	6904	6376
ENSG00000038945.14	1	1	45	24	31
ENSG00000039068.18	1	1	188	519	92
ENSG00000039123.15	1	1	10812	4133	2383
ENSG00000039139.9	1	1	58	47	39
ENSG00000039319.16	1	1	2677	733	1384
ENSG00000039523.19	1	1	95	403	1588
ENSG00000039650.11	1	1	313	1010	3181
ENSG00000040199.18	1	1	2361	3287	1186
ENSG00000040275.16	1	1	5648	1678	1493
ENSG00000040341.17	1	1	7692.83	3046.94	1514
ENSG00000040487.12	1	1	212	1371	511
ENSG00000040531.14	1	1	202	673	709
ENSG00000040633.12	1	1	1416	2801	688
ENSG00000040933.15	1	1	6307	11087	35440
ENSG00000041357.15	1	1	22394	11080	6183
ENSG00000041515.15	1	1	397	471	713
ENSG00000041802.10	1	1	5584	6097	3788
ENSG00000041880.14	1	1	977	3009	7775
ENSG00000041982.15	1	1	320	716	453
ENSG00000041988.15	1	1	297	1085.02	881
ENSG00000042088.13	1	1	5404	6994	3098
ENSG00000042286.14	1	1	1390	4950	1463
ENSG00000042317.16	1	1	334	110	236
ENSG00000042429.11	1	1	2795.25	2404.92	2341.42
ENSG00000042445.13	1	1	1809	4873	3030
ENSG00000042493.15	1	1	1322	5028	1498
ENSG00000042753.11	1	1	1313	5218	1496
ENSG00000042781.12	1	1	139	219	142
ENSG00000043039.6	1	1	57	100	45
ENSG00000043093.13	1	1	5495	1665	1100
ENSG00000043143.20	1	1	2696	8759	5398
ENSG00000043462.11	1	1	2850	3827	4749
ENSG00000043514.16	1	1	3799	2074	1993
ENSG00000043591.5	1	1	25	41	121
ENSG00000044090.8	1	1	1850	7810	15648
ENSG00000044115.20	1	1	2685	11168	3308
ENSG00000044446.11	1	1	2988	5339	16847
ENSG00000044459.14	1	1	1982	680	751
ENSG00000044524.10	1	1	11200	6762	5054
ENSG00000044574.7	1	1	10387	17781	6738
ENSG00000046604.12	1	1	11094	11258	1379
ENSG00000046647.13	1	1	2703	5441	3435
ENSG00000046651.14	1	1	12405.23	6574	21024
ENSG00000046653.14	1	1	40	18	22
ENSG00000046774.9	1	1	46	44	10
ENSG00000046889.18	1	1	42	20	36
ENSG00000047056.15	1	1	1702	3414	4027
ENSG00000047188.15	1	1	5688	1996	3538
ENSG00000047230.14	1	1	3413	2506	1245
ENSG00000047249.17	1	1	1012	1970	570
ENSG00000047315.15	1	1	25973	14300	11601
ENSG00000047346.12	1	1	2614	1411	1709
ENSG00000047365.11	1	1	4682	1585	2465
ENSG00000047410.13	1	1	20796	14316	14095
ENSG00000047578.12	1	1	543	1768	4157
ENSG00000047579.19	1	1	1178	2176	932
ENSG00000047621.11	1	1	3694	1659	1664
ENSG00000047634.14	1	1	8798	3902	6235
ENSG00000047644.18	1	1	4061	8750	8745
ENSG00000047648.21	1	1	32	63	66
ENSG00000047849.21	1	1	4376	12535	11180
ENSG00000047932.13	1	1	8623	2703	4790
ENSG00000047936.10	1	1	12	9	38
ENSG00000048028.11	1	1	4936	5356	3443
ENSG00000048052.21	1	1	1654	1251	824
ENSG00000048140.17	1	1	998	2599	4037
ENSG00000048162.20	1	1	2756	5456	2035
ENSG00000048392.11	1	1	12432	3271	2645
ENSG00000048405.9	1	1	3596	1574	1309
ENSG00000048462.10	1	1	12004	8567	2207
ENSG00000048471.13	1	1	7516	20307	11353.96
ENSG00000048540.14	1	1	1442	590	1161
ENSG00000048544.5	1	1	5123.04	3158	578
ENSG00000048649.13	1	1	4319.92	2013.82	2294.43
ENSG00000048707.15	1	1	4051	6487	5773
ENSG00000048740.18	1	1	17160	23501	23028
ENSG00000048828.16	1	1	12317	16256.82	8401
ENSG00000048991.16	1	1	5044	10071	2975
ENSG00000049089.14	1	1	1763	4181	22057
ENSG00000049167.14	1	1	1687.03	907.38	537.82
ENSG00000049192.14	1	1	2741	1865	5357
ENSG00000049239.12	1	1	1129	4238	2187
ENSG00000049245.12	1	1	2323	1822	1043
ENSG00000049246.14	1	1	83	126	124
ENSG00000049249.8	1	1	3130	4688	676
ENSG00000049449.9	1	1	10108.82	4430.22	3339.95
ENSG00000049541.10	1	1	2388	6285	707
ENSG00000049618.23	1	1	3966	9717	10405
ENSG00000049656.13	1	1	4194	12654	6804
ENSG00000049759.17	1	1	1434	2579	2481
ENSG00000049769.12	1	1	13	86	159
ENSG00000049860.13	1	1	5934	3671	1140
ENSG00000049883.14	1	1	3947	2752	5092
ENSG00000050030.14	1	1	6036	4462	4857
ENSG00000050130.17	1	1	7847	5637	2559
