gene_name	sup_latent	pel_latent	pvalue
8976	3.8016035944730198	1.5191796246572533	0.023
8977	5.862661279904	4.082316189144798	0.096
8978	2.8923450321379507	0.7835156324517842	0.1225
8979	6.223933558142498	2.6599106453373658	5e-4
8980	1.97152476497416	0.48371911793563055	0.1225
8981	5.246181132665079	3.3155993816961926	0.112
8982	6.230301380411638	2.9257597521900327	0.001
8983	5.756114104797815	3.498606127542458	0.0085
8984	5.676218165149525	2.731525373270644	0.0035
8985	2.4962999573245908	1.357224521751319	0.1855
8986	6.681008359871781	3.487797675527088	5e-4
8987	2.3877794411174174	0.42329009575403487	0.0455
8988	1.1194350260068395	0.2207372204699738	0.3825
8989	5.588418374417959	2.484296459374621	0.002
8990	7.9335613944231635	5.957898626343054	0.023
8991	4.392749095730025	2.1709808513218407	0.025
8992	2.1526755630762144	0.5322283630326038	0.2
8993	6.6248091108616265	4.159550971241927	0.005
8994	5.805511766584452	3.9834544794333926	0.0185
8995	5.096903914372183	2.7721854042194254	0.0055
8996	1.3187700076859858	0.5814688918273194	0.525
8997	5.416572761465124	2.941559759022252	0.032
8998	5.308474585047486	2.3790403957275026	0.009
8999	6.102104391357649	3.1923530851746094	0.005
9000	6.926840436675249	4.298160649664068	0.001
9001	3.9750223845980486	3.3180488143946687	0.39
9002	4.823538155862412	1.9306427753028859	0.012
9003	6.433113032934399	3.0608976303863074	0.001
9004	5.323379078270836	1.903961077312875	0.025
9005	5.7996239640591805	2.0810841757466303	5e-4
9006	7.292391503735216	3.4153165088786226	0
9007	0.7797877340084856	1.1337297228570522	1.253
9008	6.755968164901006	2.9749936955393963	5e-4
9009	7.654891271472302	5.625492769878047	0.0395
9010	1.7798865944525735	0.4508488824685818	0.163
9011	5.469907222299584	3.1711426222080963	0.007
9012	5.517747400202824	3.040505097066919	0.0245
9013	0.38388169319181464	-0.9969880412766341	0.2425
9014	5.344720732191389	2.229963742938066	5e-4
9015	3.6054377575794545	1.9154891801578098	0.135
9016	6.089788123348555	3.518811687781122	0.004
9017	8.52733744556538	4.498457622824775	0
9018	4.291327438102164	1.598851809020986	0.007
9019	6.695692258989904	3.420012307791639	0.0025
9020	6.267833985941754	3.0219994240709944	0.0025
9021	0.3735178969925411	-0.8476701451934083	0.2775
9022	3.982076000906332	2.150160415517514	0.05
9023	4.091923213598504	2.074262150315243	0.1345
9024	6.725877492055423	4.250021245209654	0.005
9025	5.171171811478175	1.6538456948458906	0.024
9026	5.602587073380757	2.3195157513667954	0.0035
9027	7.898004221903779	5.113580275842091	0.0015
9028	6.39471671141029	2.8661659356716687	5e-4
9029	5.318731699401848	1.984242259292194	0.0025
9030	3.864313249907862	1.5520446281049949	0.0915
9031	-0.0835213174587536	-0.33431183333219916	0.827
