gene_name	condition_A	condition_B	p.value_frac	p.value_total	gene_count_condition_A	pel_count_condition_A	gene_count_condition_B	pel_count_condition_B
20	3	1	0.0185	0.9965	0.4918187879006422	-0.01857745473211152	-0.3662429617560331	0.7789286751700154
20	3	2	0.9685	0	0.4918187879006422	-0.01857745473211152	2.0086326210810497	-0.5545270682395393
21	2	1	5e-4	1	2.0341987968818405	-0.6802627471743357	-0.02640968254612045	0.1968111720654276
21	3	1	0.1105	0.98825	0.6117558138383152	-0.2362279028901256	-0.02640968254612045	0.1968111720654276
21	3	2	0.94525	0	0.6117558138383152	-0.2362279028901256	2.0341987968818405	-0.6802627471743357
22	2	1	0.6085	0.955	-0.9711823852812114	-0.05700157918396194	-1.7507689764975645	-0.23070759962350723
22	3	1	0.379	0.8115	-1.3248042186040623	-0.43009246497446063	-1.7507689764975645	-0.23070759962350723
22	3	2	0.272	0.21975	-1.3248042186040623	-0.43009246497446063	-0.9711823852812114	-0.05700157918396194
23	2	1	0.99975	0	4.679510947637025	0.3200115550136544	5.745513681902368	-0.31989815414932143
23	3	1	1	0	3.8819852085424844	1.355592032128074	5.745513681902368	-0.31989815414932143
23	3	2	1	0	3.8819852085424844	1.355592032128074	4.679510947637025	0.3200115550136544
24	2	1	0.002	0.86725	1.61344377714471	-0.5786960000305776	1.3821316923447133	0.10801867695727077
24	3	1	0.0035	0.05975	1.023971755806333	-0.7228889858702294	1.3821316923447133	0.10801867695727077
24	3	2	0.30325	0.001	1.023971755806333	-0.7228889858702294	1.61344377714471	-0.5786960000305776
25	2	1	0.83	0.99975	5.884773543889903	0.10458937966979588	5.272052035908175	-0.0922906626236287
25	3	1	0.99925	0.1365	5.054618080391414	0.544262134186962	5.272052035908175	-0.0922906626236287
25	3	2	0.97875	0	5.054618080391414	0.544262134186962	5.884773543889903	0.10458937966979588
26	2	1	0.4285	1	4.184431280003704	0.02327626763614653	3.453247086550812	0.06152730091521669
26	3	1	0.97975	0.0285	3.0940030258713858	0.4955451756713031	3.453247086550812	0.06152730091521669
26	3	2	0.99	0	3.0940030258713858	0.4955451756713031	4.184431280003704	0.02327626763614653
27	2	1	0.0095	0.99975	6.422497118136048	-0.5406195057187726	5.91417153627273	-0.09334153247783424
27	3	1	2.5e-4	0.92325	6.162135564190199	-0.7377622656957208	5.91417153627273	-0.09334153247783424
27	3	2	0.14675	0.064	6.162135564190199	-0.7377622656957208	6.422497118136048	-0.5406195057187726
28	2	1	0.5835	0.05275	2.734127769806986	-0.46337279222166683	3.0178051244718396	-0.5092540527313131
28	3	1	0.19275	0.1915	2.8650883547218253	-0.6935333036451041	3.0178051244718396	-0.5092540527313131
28	3	2	0.1375	0.7605	2.8650883547218253	-0.6935333036451041	2.734127769806986	-0.46337279222166683
29	2	1	0.999	0.00625	4.148060638027983	0.29303024821110024	4.573985909232278	-0.30348562460077383
29	3	1	1	0	3.4016898085952034	1.0639062049978114	4.573985909232278	-0.30348562460077383
29	3	2	1	0	3.4016898085952034	1.0639062049978114	4.148060638027983	0.29303024821110024
30	2	1	0.99775	0	2.5538916233262956	0.8213794394270064	3.59265217037819	0.19251621737941865
30	3	1	1	0	2.6544345262969933	1.2078877764854001	3.59265217037819	0.19251621737941865
30	3	2	0.96575	0.69575	2.6544345262969933	1.2078877764854001	2.5538916233262956	0.8213794394270064
31	2	1	1	0.005	5.839780028971347	-0.15307620941999878	6.279374072061405	-1.0877322804699978
31	3	1	0.99975	0.4695	6.268260863863205	-0.4256721190057216	6.279374072061405	-1.0877322804699978
31	3	2	0.07575	0.99325	6.268260863863205	-0.4256721190057216	5.839780028971347	-0.15307620941999878
32	2	1	0.00875	1	8.423536189716614	-1.4007226982737642	6.285203461165402	-0.9822506253039661
32	3	1	0.05375	1	8.281093946393405	-1.2611068040708924	6.285203461165402	-0.9822506253039661
32	3	2	0.793	0.17925	8.281093946393405	-1.2611068040708924	8.423536189716614	-1.4007226982737642
33	2	1	0.24525	0.23675	3.473054037484318	-1.052350902057289	3.59185783691567	-0.9297376920695128
33	3	1	0.07675	0.89825	3.7947061646611084	-1.1928877923528998	3.59185783691567	-0.9297376920695128
33	3	2	0.232	0.9805	3.7947061646611084	-1.1928877923528998	3.473054037484318	-1.052350902057289
34	2	1	0.0195	1	3.9673490120195734	-2.2454605858104815	2.741931387897738	-1.8287747669567835
34	3	1	0.9765	0.99875	3.239278068847419	-1.420909833552018	2.741931387897738	-1.8287747669567835
34	3	2	1	0	3.239278068847419	-1.420909833552018	3.9673490120195734	-2.2454605858104815
35	2	1	0.99425	0	2.3562438448070973	-0.03223375782692263	3.15057631527453	-0.5780844585990726
35	3	1	1	0	1.8987134897044857	0.7487939258583635	3.15057631527453	-0.5780844585990726
35	3	2	0.99975	0.011	1.8987134897044857	0.7487939258583635	2.3562438448070973	-0.03223375782692263
36	2	1	0.378	0.99	3.059087004978532	-0.46721762895441354	2.6614613645138636	-0.40403162528293174
36	3	1	0.9985	0.039	2.3338201915728267	0.24661185629638943	2.6614613645138636	-0.40403162528293174
36	3	2	0.99975	0	2.3338201915728267	0.24661185629638943	3.059087004978532	-0.46721762895441354
37	2	1	0.9545	5e-4	2.214063171743317	0.5117513393734721	2.8510435814760715	0.14796076343461156
37	3	1	1	0	1.5782343168661521	1.2975589762200714	2.8510435814760715	0.14796076343461156
37	3	2	0.99975	0.00125	1.5782343168661521	1.2975589762200714	2.214063171743317	0.5117513393734721
38	2	1	0.16025	0.405	4.135540802196432	-0.4962896835263729	4.187912373498928	-0.24823252020951603
38	3	1	0.05175	0.34425	4.105731458348062	-0.6219209945834412	4.187912373498928	-0.24823252020951603
38	3	2	0.28575	0.4365	4.105731458348062	-0.6219209945834412	4.135540802196432	-0.4962896835263729
39	2	1	0.99075	0.00825	2.8307698760842768	-0.4554438290430761	3.263482859013341	-0.9666538297896363
39	3	1	0.98375	0.104	3.045375363722819	-0.5184022934994077	3.263482859013341	-0.9666538297896363
39	3	2	0.387	0.88875	3.045375363722819	-0.5184022934994077	2.8307698760842768	-0.4554438290430761
40	2	1	0.3745	0.796	3.7187980414491673	-0.8159015063328523	3.5835693358110308	-0.754640066478385
40	3	1	0.83325	0.733	3.6871966901712825	-0.5582828288487134	3.5835693358110308	-0.754640066478385
40	3	2	0.91625	0.4125	3.6871966901712825	-0.5582828288487134	3.7187980414491673	-0.8159015063328523
41	2	1	0.7725	0.4095	3.7801044860077067	-0.8835711898381098	3.818263317086257	-1.0215012500435423
41	3	1	0.94225	0.17	3.6677031047179396	-0.7221769813733492	3.818263317086257	-1.0215012500435423
41	3	2	0.82025	0.23975	3.6677031047179396	-0.7221769813733492	3.7801044860077067	-0.8835711898381098
42	2	1	0.82975	0.855	-1.958787037120413	-0.20170050491660274	-2.6516777170225385	-1.0490454055305052
