gene_name	baseMean	log2FoldChange	padj	condition
YAR010C	0.7078505705861602	-2.118388997312214	0.6105600911492388	WT_42C
YAR014C	1008.1173220123068	-1.6819090515041937	9.359012171802584e-9	WT_42C
YAR015W	1406.915048120794	2.3021735234855747	4.342916278282022e-15	WT_42C
YAR018C	310.134130832697	0.38367056991358545	0.2554269738497216	WT_42C
YAR019C	132.61997415335537	-1.612492142333503	7.175313230891949e-5	WT_42C
YAR019W-A	4.487977347016142	-2.234934574042924	0.2221716011304303	WT_42C
YAR020C	13.082450803517133	-0.6893791154507161	0.5028304797402706	WT_42C
YAR023C	120.53901535184394	0.02096179415209891	0.9692804362160663	WT_42C
YAR027W	1086.4105729340988	1.3552840308838103	1.3107129335920155e-6	WT_42C
YAR028W	324.72722964987	0.511838313468567	0.14024186076741454	WT_42C
YAR029W	51.29175191355664	-0.97529288673069	0.07773899239990782	WT_42C
YAR030C	40.86624473432582	-1.6169261684585114	0.006736972526221616	WT_42C
YAR031W	86.78091248503164	-1.1789624627186654	0.007852695318471917	WT_42C
YAR033W	82.82679315588814	-0.07867617945406531	0.8883627331682161	WT_42C
YAR035C-A	4.62478548609937	0.9855475638604763	0.5337835448293502	WT_42C
YAR035W	132.83402516523597	-0.4392672552553207	0.3197110053091298	WT_42C
YAR042W	727.3186846048054	-2.19393119438877	7.33062931845652e-14	WT_42C
YAR047C	0	NA	NA	WT_42C
YAR050W	196.39902880307102	-2.424543492079384	3.874424794217346e-9	WT_42C
YAR053W	4.761558515986826	0.184530874572925	0.9167611369858751	WT_42C
YAR060C	0	NA	NA	WT_42C
YAR064W	17.45175577385474	-1.6600956126922453	0.0652403713820115	WT_42C
YAR066W	0	NA	NA	WT_42C
YAR068W	7.012768364059976	-2.642717669388452	0.09050606999022517	WT_42C
YAR069C	0	NA	NA	WT_42C
YAR070C	0.8430892503718576	0.8105409562734689	0.8525517908643271	WT_42C
YAR071W	250.15378151896647	0.13102497683304168	0.761291401056633	WT_42C
YAR073W	6.306845212825737	-0.5696344777611668	0.6958287827465303	WT_42C
YAR075W	3.711071353747914	0.48995716559089547	0.7952721251338964	WT_42C
YBL001C	410.1880543643726	2.780952479472969	1.257847148394892e-18	WT_42C
YBL002W	250.541835920286	1.7307168429000699	4.648930833094869e-7	WT_42C
YBL003C	2120.972653537165	3.049414964667699	7.094817996670102e-28	WT_42C
YBL004W	3953.522724226832	-2.0166533066339163	8.787929761751276e-14	WT_42C
YBL005W	755.1558154573669	-1.9213113846504513	2.6997772391657832e-11	WT_42C
YBL005W-A	0	NA	NA	WT_42C
YBL005W-B	1378.4299028589	-0.9889061190449894	0.010483203135067993	WT_42C
YBL006C	294.5977455379365	0.541401049300556	0.10007771200136394	WT_42C
YBL006W-A	0	NA	NA	WT_42C
YBL007C	3665.8765026039673	-1.347574211585493	5.916567609929111e-7	WT_42C
YBL008W	716.8277407476548	-1.7751972009956396	8.296863997882128e-10	WT_42C
YBL008W-A	2.9384104507305735	-1.5030509082193546	0.49418704657415213	WT_42C
YBL009W	214.6106245359543	-0.010529299488808678	0.9805902190762066	WT_42C
YBL010C	116.14229793558317	0.5412127057880112	0.18636905218728567	WT_42C
YBL011W	1868.3983101219108	-2.030950832327901	3.841709491329588e-14	WT_42C
YBL012C	11.045482936114098	-1.455792058523485	0.22288617506472627	WT_42C
YBL013W	115.82033840203262	-1.8542558818342592	6.532806277779619e-6	WT_42C
YBL014C	1063.0340740487447	-2.002130427846318	3.908052101358749e-12	WT_42C
YBL015W	994.8308845023358	-1.2206889095119784	3.754206058038084e-5	WT_42C
YBL016W	726.2470149207898	0.4973475534304137	0.12115654893052383	WT_42C
YBL017C	6273.052000827096	-1.9478105130034151	1.8656252814894824e-12	WT_42C
YBL018C	239.56209997973934	2.0107268435941847	5.134847968255573e-10	WT_42C
YBL019W	445.95675047041306	-0.14263878372593022	0.6915603192009453	WT_42C
YBL020W	708.2744114568281	-0.8336510377935512	0.007874389464847564	WT_42C
YBL021C	115.19734350717356	0.5380724219262948	0.19343486528570197	WT_42C
YBL022C	1752.1755141886406	-0.21238843636070598	0.5239857646711591	WT_42C
YBL023C	1330.0656277223043	1.2680992447673018	1.218289371048881e-5	WT_42C
YBL024W	1692.5257928631543	1.3549614777385675	1.805275432130987e-5	WT_42C
YBL025W	112.02556338853	0.4983600637463961	0.2272345522047062	WT_42C
